ID	adj.P.Val	P.Value	F	Gene.symbol	Gene.title
A_24_P95154	1.82e-23	3.86e-26	8.42e+01	TUSC3	tumor suppressor candidate 3
A_23_P129916	1.85e-23	3.96e-26	8.42e+01	DHRS7C	dehydrogenase/reductase 7C
A_24_P186354	2.05e-23	4.45e-26	8.40e+01		
A_24_P50738	2.44e-23	5.34e-26	8.36e+01		
A_23_P24192	2.59e-23	5.74e-26	8.35e+01	RRP12	ribosomal RNA processing 12 homolog
A_24_P367397	3.47e-23	7.77e-26	8.29e+01		
A_32_P100338	3.89e-23	8.81e-26	8.26e+01		
A_23_P51479	4.09e-23	9.35e-26	8.25e+01	INSL5	insulin like 5
A_24_P143599	4.92e-23	1.14e-25	8.21e+01	ATP11A	ATPase phospholipid transporting 11A
A_23_P983	5.36e-23	1.25e-25	8.19e+01	PRDX6	peroxiredoxin 6
A_24_P11825	6.55e-23	1.55e-25	8.15e+01	CCR2	C-C motif chemokine receptor 2
A_23_P164784	6.75e-23	1.61e-25	8.14e+01	LILRB5	leukocyte immunoglobulin like receptor B5
A_32_P103508	6.96e-23	1.68e-25	8.13e+01	KIAA1549	KIAA1549
A_23_P63032	7.34e-23	1.79e-25	8.12e+01	GUCA2B	guanylate cyclase activator 2B
A_23_P136753	7.42e-23	1.82e-25	8.12e+01		
A_23_P14302	8.22e-23	2.04e-25	8.10e+01	LINC00341	long intergenic non-protein coding RNA 341
A_23_P429340	9.40e-23	2.36e-25	8.07e+01	TEAD1	TEA domain transcription factor 1
A_23_P392383	1.28e-22	3.24e-25	8.01e+01	LARP1	La ribonucleoprotein domain family member 1
A_23_P158627	1.48e-22	3.78e-25	7.98e+01	NOC4L	nucleolar complex associated 4 homolog
A_24_P222043	1.97e-22	5.09e-25	7.92e+01	HMGA1	high mobility group AT-hook 1
A_23_P112452	2.03e-22	5.29e-25	7.91e+01	GGTA1P	glycoprotein, alpha-galactosyltransferase 1 pseudogene
A_23_P19802	2.18e-22	5.73e-25	7.90e+01	ZNF777	zinc finger protein 777
A_23_P162087	2.52e-22	6.67e-25	7.87e+01	TMEM9B	TMEM9 domain family member B
A_24_P142973	2.58e-22	6.90e-25	7.86e+01	PEX26	peroxisomal biogenesis factor 26
A_24_P636882	2.85e-22	7.70e-25	7.84e+01	STK17B	serine/threonine kinase 17b
A_23_P22350	3.46e-22	9.43e-25	7.80e+01	GRAMD3	GRAM domain containing 3
DCP_22_4	4.89e-22	1.35e-24	7.73e+01		
A_32_P115162	4.89e-22	1.36e-24	7.73e+01		
A_23_P77590	5.22e-22	1.46e-24	7.72e+01	VAC14	Vac14, PIKFYVE complex component
A_23_P12746	6.07e-22	1.71e-24	7.69e+01	MRC1	mannose receptor, C type 1
A_23_P67299	6.21e-22	1.77e-24	7.68e+01	DOCK6	dedicator of cytokinesis 6
A_23_P68007	6.32e-22	1.81e-24	7.67e+01	ATP1B3	ATPase Na+/K+ transporting subunit beta 3
A_24_P652318	6.36e-22	1.84e-24	7.67e+01		
A_23_P85240	6.72e-22	1.96e-24	7.66e+01	TLR7	toll like receptor 7
A_23_P20458	6.83e-22	2.01e-24	7.65e+01	NPBWR1	neuropeptides B/W receptor 1
A_32_P154473	7.49e-22	2.22e-24	7.64e+01	KIF5C	kinesin family member 5C
A_24_P659113	7.96e-22	2.38e-24	7.62e+01	CCNYL1	cyclin Y like 1
A_32_P112104	8.22e-22	2.48e-24	7.62e+01	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1
A_23_P49900	8.69e-22	2.64e-24	7.60e+01	PELP1	proline, glutamate and leucine rich protein 1
A_32_P91273	9.58e-22	2.94e-24	7.58e+01		
A_23_P112634	9.65e-22	3.00e-24	7.58e+01	SMIM14	small integral membrane protein 14
A_23_P159076	9.65e-22	3.01e-24	7.58e+01	SLC17A8	solute carrier family 17 member 8
A_32_P203939	1.04e-21	3.27e-24	7.56e+01		
A_23_P259868	1.09e-21	3.46e-24	7.55e+01	CD177	CD177 molecule
A_24_P37873	1.10e-21	3.50e-24	7.55e+01	ESM1	endothelial cell specific molecule 1
A_23_P207537	1.13e-21	3.63e-24	7.54e+01	DUSP14	dual specificity phosphatase 14
A_23_P152753	1.21e-21	3.92e-24	7.53e+01	DBF4B	DBF4 zinc finger B
A_23_P30567	1.31e-21	4.28e-24	7.51e+01	CRHBP	corticotropin releasing hormone binding protein
A_23_P4773	1.36e-21	4.47e-24	7.50e+01	LILRB5	leukocyte immunoglobulin like receptor B5
A_24_P134235	1.39e-21	4.59e-24	7.50e+01	KHSRP	KH-type splicing regulatory protein
A_24_P416346	1.40e-21	4.68e-24	7.50e+01	ETV4	ETS variant 4
A_23_P362893	1.43e-21	4.81e-24	7.49e+01	TEAD1	TEA domain transcription factor 1
A_23_P77807	1.61e-21	5.43e-24	7.47e+01	RAI1	retinoic acid induced 1
A_23_P372925	1.69e-21	5.76e-24	7.46e+01	CIPC	CLOCK interacting pacemaker
A_24_P398319	2.08e-21	7.15e-24	7.42e+01	TMEM9B	TMEM9 domain family member B
A_23_P38630	2.19e-21	7.57e-24	7.40e+01	SSTR2	somatostatin receptor 2
A_23_P84154	2.70e-21	9.39e-24	7.36e+01	ARHGAP15	Rho GTPase activating protein 15
A_23_P47806	3.05e-21	1.07e-23	7.34e+01	MIP	major intrinsic protein of lens fiber
A_23_P20728	3.19e-21	1.13e-23	7.33e+01	SNAPC4	small nuclear RNA activating complex polypeptide 4
A_23_P57667	3.22e-21	1.14e-23	7.33e+01	PLXNA1	plexin A1
A_23_P118615	3.64e-21	1.30e-23	7.30e+01	ABCA8	ATP binding cassette subfamily A member 8
A_23_P418234	4.31e-21	1.55e-23	7.27e+01	PHLPP2	PH domain and leucine rich repeat protein phosphatase 2
A_23_P209484	4.32e-21	1.57e-23	7.27e+01	NEUROD1	neuronal differentiation 1
A_32_P144281	4.32e-21	1.58e-23	7.27e+01		
A_23_P77073	4.47e-21	1.64e-23	7.26e+01	SPPL2A	signal peptide peptidase like 2A
A_23_P94795	5.07e-21	1.87e-23	7.24e+01	TEAD4	TEA domain transcription factor 4
A_24_P267452	5.09e-21	1.90e-23	7.23e+01	CD3EAP	CD3e molecule associated protein
A_23_P212400	5.09e-21	1.91e-23	7.23e+01	NAT6	N-acetyltransferase 6
A_23_P203351	5.09e-21	1.92e-23	7.23e+01	MS4A7	membrane spanning 4-domains A7
A_23_P326170	5.27e-21	2.00e-23	7.22e+01	CALM2	calmodulin 2
A_23_P57784	5.33e-21	2.04e-23	7.22e+01	CLDN1	claudin 1
A_23_P60488	5.43e-21	2.09e-23	7.22e+01	ODF2	outer dense fiber of sperm tails 2
A_23_P303087	5.45e-21	2.11e-23	7.21e+01	PTN	pleiotrophin
A_23_P75769	5.48e-21	2.13e-23	7.21e+01	MS4A4A	membrane spanning 4-domains A4A
A_24_P84396	6.93e-21	2.72e-23	7.17e+01	CEMIP	cell migration inducing hyaluronan binding protein
A_24_P592318	7.18e-21	2.83e-23	7.16e+01		
A_23_P217269	7.35e-21	2.92e-23	7.15e+01	VSIG4	V-set and immunoglobulin domain containing 4
A_23_P257668	7.74e-21	3.09e-23	7.14e+01	TTC26	tetratricopeptide repeat domain 26
A_23_P36120	8.60e-21	3.45e-23	7.12e+01	MS4A6A	membrane spanning 4-domains A6A
A_24_P153568	8.75e-21	3.56e-23	7.12e+01	MPEG1	macrophage expressed 1
A_24_P88696	8.75e-21	3.56e-23	7.12e+01	SCG2	secretogranin II
A_23_P153390	8.91e-21	3.64e-23	7.11e+01	CLEC4G	C-type lectin domain family 4 member G
A_24_P324396	9.52e-21	3.91e-23	7.10e+01	SSU72	SSU72 homolog, RNA polymerase II CTD phosphatase
A_24_P240242	1.04e-20	4.29e-23	7.08e+01	MAP4	microtubule associated protein 4
A_24_P935893	1.08e-20	4.48e-23	7.08e+01	FAM46C	family with sequence similarity 46 member C
A_24_P32935	1.08e-20	4.52e-23	7.07e+01	FOLR2	folate receptor beta
A_23_P47709	1.13e-20	4.77e-23	7.06e+01	FOLR2	folate receptor beta
A_23_P53623	1.23e-20	5.21e-23	7.05e+01	P2RX4	purinergic receptor P2X 4
A_23_P30264	1.33e-20	5.65e-23	7.03e+01	IPO11	importin 11
A_23_P431776	1.35e-20	5.77e-23	7.03e+01	ETV4	ETS variant 4
A_24_P122921	1.40e-20	6.04e-23	7.02e+01	BCL2L11	BCL2 like 11
A_23_P103256	1.44e-20	6.23e-23	7.01e+01	CFHR3	complement factor H related 3
A_23_P26522	1.46e-20	6.35e-23	7.01e+01	AQP8	aquaporin 8
A_24_P734720	1.48e-20	6.48e-23	7.01e+01	CCNYL1	cyclin Y like 1
A_32_P58018	1.48e-20	6.55e-23	7.01e+01		
A_23_P15450	1.48e-20	6.56e-23	7.01e+01	TMEM100	transmembrane protein 100
A_23_P28638	1.61e-20	7.16e-23	6.99e+01	PLEKHB2	pleckstrin homology domain containing B2
A_24_P776784	1.66e-20	7.43e-23	6.98e+01		
A_32_P456209	1.66e-20	7.47e-23	6.98e+01		
A_24_P646168	1.68e-20	7.61e-23	6.98e+01		
A_24_P915464	1.75e-20	7.96e-23	6.97e+01		
A_24_P936376	1.82e-20	8.33e-23	6.96e+01	CR2	complement component 3d receptor 2
A_32_P90047	1.85e-20	8.49e-23	6.96e+01	C4orf48	chromosome 4 open reading frame 48
A_24_P870620	1.87e-20	8.63e-23	6.96e+01	PTN	pleiotrophin
A_23_P110430	1.92e-20	8.94e-23	6.95e+01	MSX1	msh homeobox 1
A_23_P76006	2.01e-20	9.40e-23	6.94e+01	SERPINH1	serpin family H member 1
A_24_P238819	2.22e-20	1.04e-22	6.92e+01		
A_23_P54373	2.28e-20	1.08e-22	6.92e+01	RAB27A	RAB27A, member RAS oncogene family
A_23_P309261	2.40e-20	1.14e-22	6.91e+01	AKAP9	A-kinase anchoring protein 9
A_23_P126706	2.41e-20	1.15e-22	6.90e+01	ANGPTL1	angiopoietin like 1
A_23_P83175	2.49e-20	1.19e-22	6.90e+01	HACD4	3-hydroxyacyl-CoA dehydratase 4
A_24_P283189	2.62e-20	1.26e-22	6.89e+01	CD14	CD14 molecule
A_23_P346302	2.63e-20	1.28e-22	6.88e+01	ZMAT2	zinc finger matrin-type 2
A_23_P82169	2.87e-20	1.40e-22	6.87e+01	SOX4	SRY-box 4
A_23_P81058	2.95e-20	1.45e-22	6.86e+01	BMP3	bone morphogenetic protein 3
A_24_P485742	2.97e-20	1.46e-22	6.86e+01		
A_24_P328675	3.46e-20	1.71e-22	6.83e+01	PTPN23	protein tyrosine phosphatase, non-receptor type 23
A_23_P80129	3.91e-20	1.94e-22	6.81e+01	RRP1	ribosomal RNA processing 1
A_23_P162525	3.93e-20	1.96e-22	6.81e+01	UTP20	UTP20, small subunit processome component
A_32_P48256	4.80e-20	2.41e-22	6.77e+01		
DCP_20_5	4.80e-20	2.42e-22	6.77e+01		
A_23_P134426	4.80e-20	2.43e-22	6.77e+01	GPNMB	glycoprotein nmb
A_23_P206177	5.62e-20	2.86e-22	6.74e+01	SNAP23	synaptosome associated protein 23
A_32_P175934	5.87e-20	3.00e-22	6.73e+01	CD48	CD48 molecule
A_23_P146134	6.18e-20	3.17e-22	6.72e+01	DUSP26	dual specificity phosphatase 26 (putative)
A_23_P45821	6.48e-20	3.34e-22	6.71e+01		
A_24_P196175	6.78e-20	3.51e-22	6.70e+01		
A_23_P140384	7.15e-20	3.73e-22	6.69e+01	CTSG	cathepsin G
A_23_P90679	7.93e-20	4.15e-22	6.67e+01	STRADB	STE20-related kinase adaptor beta
A_24_P393811	7.97e-20	4.19e-22	6.67e+01	TMCO1	transmembrane and coiled-coil domains 1
A_23_P70161	8.04e-20	4.24e-22	6.67e+01	ITGA2	integrin subunit alpha 2
A_32_P17672	8.30e-20	4.41e-22	6.66e+01	CCAT1	colon cancer associated transcript 1 (non-protein coding)
A_23_P21393	8.52e-20	4.54e-22	6.66e+01		
A_24_P200162	9.10e-20	4.87e-22	6.64e+01	HIGD1A	HIG1 hypoxia inducible domain family member 1A
A_32_P215002	9.93e-20	5.34e-22	6.63e+01		
A_32_P173177	1.08e-19	5.85e-22	6.61e+01		
A_23_P83453	1.22e-19	6.64e-22	6.59e+01	SMARCC1	SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1
A_23_P355067	1.27e-19	6.94e-22	6.58e+01	TMCO1	transmembrane and coiled-coil domains 1
A_23_P165819	1.34e-19	7.34e-22	6.57e+01		
A_23_P96501	1.36e-19	7.50e-22	6.57e+01	TEX11	testis expressed 11
A_32_P188263	1.39e-19	7.67e-22	6.56e+01		
A_23_P106405	1.51e-19	8.38e-22	6.55e+01	NDN	necdin, MAGE family member
A_23_P149111	1.53e-19	8.52e-22	6.54e+01	PTPN14	protein tyrosine phosphatase, non-receptor type 14
A_23_P5460	1.55e-19	8.66e-22	6.54e+01	FEV	FEV, ETS transcription factor
A_24_P941441	1.55e-19	8.74e-22	6.54e+01	GNA13	G protein subunit alpha 13
A_23_P421465	1.62e-19	9.14e-22	6.53e+01	EP400	E1A binding protein p400
A_23_P321361	1.64e-19	9.29e-22	6.53e+01	DHX30	DEAH-box helicase 30
A_23_P11201	1.68e-19	9.55e-22	6.52e+01	GPR34	G protein-coupled receptor 34
A_23_P60405	1.73e-19	9.87e-22	6.52e+01	DDX31	DEAD-box helicase 31
A_23_P69497	1.76e-19	1.01e-21	6.51e+01	CLEC3B	C-type lectin domain family 3 member B
A_23_P212329	1.80e-19	1.04e-21	6.51e+01	PTPN23	protein tyrosine phosphatase, non-receptor type 23
A_23_P5241	1.81e-19	1.05e-21	6.51e+01	ADAMTSL5	ADAMTS like 5
A_23_P32558	1.91e-19	1.11e-21	6.50e+01	WDR5	WD repeat domain 5
A_24_P242646	2.00e-19	1.17e-21	6.49e+01	CTSS	cathepsin S
A_23_P331598	2.04e-19	1.20e-21	6.48e+01	IPO7	importin 7
A_32_P227870	2.14e-19	1.26e-21	6.48e+01	SLC30A4	solute carrier family 30 member 4
A_24_P271049	2.40e-19	1.42e-21	6.45e+01	C18orf32	chromosome 18 open reading frame 32
A_24_P323682	2.45e-19	1.45e-21	6.45e+01		
A_32_P162760	2.60e-19	1.55e-21	6.44e+01		
A_23_P141505	2.60e-19	1.56e-21	6.44e+01	CLEC10A	C-type lectin domain family 10 member A
A_23_P61057	2.63e-19	1.58e-21	6.44e+01	IL16	interleukin 16
A_23_P427014	2.63e-19	1.59e-21	6.43e+01	CLDN8	claudin 8
A_24_P243347	2.84e-19	1.72e-21	6.42e+01	MAT2B	methionine adenosyltransferase 2B
A_23_P7727	2.87e-19	1.74e-21	6.42e+01	HAPLN1	hyaluronan and proteoglycan link protein 1
A_23_P80377	3.32e-19	2.03e-21	6.39e+01	PACSIN2	protein kinase C and casein kinase substrate in neurons 2
A_24_P382661	3.40e-19	2.09e-21	6.39e+01	ETS2	ETS proto-oncogene 2, transcription factor
A_23_P142697	3.43e-19	2.11e-21	6.38e+01	TTLL4	tubulin tyrosine ligase like 4
A_24_P274928	3.61e-19	2.23e-21	6.37e+01	ZNF703	zinc finger protein 703
A_23_P167812	3.64e-19	2.26e-21	6.37e+01	RBM24	RNA binding motif protein 24
A_23_P214360	3.90e-19	2.43e-21	6.36e+01	IRF4	interferon regulatory factor 4
A_24_P263682	3.99e-19	2.49e-21	6.36e+01	QSOX2	quiescin sulfhydryl oxidase 2
A_24_P373174	4.10e-19	2.57e-21	6.35e+01	RAB27A	RAB27A, member RAS oncogene family
A_23_P259863	4.36e-19	2.75e-21	6.34e+01	CD177	CD177 molecule
A_23_P141508	4.36e-19	2.76e-21	6.34e+01	CLEC10A	C-type lectin domain family 10 member A
A_23_P217384	4.38e-19	2.78e-21	6.34e+01	AP1S2	adaptor related protein complex 1 sigma 2 subunit
A_23_P97157	4.41e-19	2.82e-21	6.33e+01	IPO9	importin 9
A_23_P47788	4.41e-19	2.82e-21	6.33e+01	METTL1	methyltransferase like 1
A_23_P200160	4.49e-19	2.88e-21	6.33e+01	CFH	complement factor H
A_24_P276583	4.71e-19	3.04e-21	6.32e+01	TMCO1	transmembrane and coiled-coil domains 1
A_24_P246397	4.75e-19	3.07e-21	6.32e+01	CCNO	cyclin O
A_24_P253293	5.04e-19	3.27e-21	6.31e+01	NKX2-8	NK2 homeobox 8
A_23_P39067	5.14e-19	3.36e-21	6.30e+01	SPIB	Spi-B transcription factor
A_32_P36511	5.14e-19	3.37e-21	6.30e+01	UNC5C	unc-5 netrin receptor C
A_23_P407695	5.16e-19	3.39e-21	6.30e+01	FAM151A	family with sequence similarity 151 member A
A_24_P99071	5.30e-19	3.50e-21	6.30e+01	IPO5	importin 5
A_32_P134679	5.40e-19	3.58e-21	6.29e+01		
A_24_P322741	5.51e-19	3.66e-21	6.29e+01	IL10RB	interleukin 10 receptor subunit beta
A_24_P107695	5.51e-19	3.68e-21	6.29e+01	ACTN1	actinin alpha 1
A_23_P162719	5.62e-19	3.76e-21	6.28e+01	DIAPH3	diaphanous related formin 3
A_23_P86931	5.88e-19	3.95e-21	6.28e+01	SLC37A2	solute carrier family 37 member 2
A_23_P119835	5.99e-19	4.04e-21	6.27e+01	NLRC4	NLR family CARD domain containing 4
A_32_P46214	6.28e-19	4.25e-21	6.26e+01	SLC9A9	solute carrier family 9 member A9
A_23_P103628	7.07e-19	4.80e-21	6.24e+01	HEATR1	HEAT repeat containing 1
A_32_P69956	7.89e-19	5.38e-21	6.22e+01		
A_23_P61466	8.38e-19	5.73e-21	6.21e+01	CD163L1	CD163 molecule like 1
A_23_P30464	9.15e-19	6.28e-21	6.19e+01	PRR7	proline rich 7 (synaptic)
A_32_P215003	9.58e-19	6.59e-21	6.19e+01		
A_32_P221966	1.03e-18	7.14e-21	6.17e+01	SFTA1P	surfactant associated 1, pseudogene
A_24_P161973	1.05e-18	7.29e-21	6.17e+01	ATP11A	ATPase phospholipid transporting 11A
A_24_P392496	1.06e-18	7.40e-21	6.17e+01	LOC100133920	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1-like pseudogene
A_23_P103282	1.09e-18	7.64e-21	6.16e+01	TMEM59	transmembrane protein 59
A_23_P105957	1.10e-18	7.74e-21	6.16e+01	ACTN1	actinin alpha 1
A_23_P90634	1.12e-18	7.85e-21	6.16e+01	CCNYL1	cyclin Y like 1
A_32_P155631	1.14e-18	8.03e-21	6.15e+01	SDHD	succinate dehydrogenase complex subunit D
A_24_P305938	1.24e-18	8.81e-21	6.14e+01	RAB9BP1	RAB9B, member RAS oncogene family pseudogene 1
A_24_P6135	1.25e-18	8.87e-21	6.14e+01	L3MBTL2	L3MBTL2 polycomb repressive complex 1 subunit
A_23_P117416	1.26e-18	9.02e-21	6.13e+01	BRF1	BRF1, RNA polymerase III transcription initiation factor 90 kDa subunit
A_32_P29118	1.27e-18	9.11e-21	6.13e+01	SEMA3D	semaphorin 3D
A_23_P256059	1.28e-18	9.18e-21	6.13e+01	RPL23AP87	ribosomal protein L23a pseudogene 87
A_24_P923142	1.28e-18	9.21e-21	6.13e+01	ZC3HAV1L	zinc finger CCCH-type containing, antiviral 1 like
A_24_P365767	1.30e-18	9.43e-21	6.12e+01	CYBB	cytochrome b-245 beta chain
A_23_P157914	1.30e-18	9.44e-21	6.12e+01	MAMDC2	MAM domain containing 2
A_24_P177844	1.32e-18	9.58e-21	6.12e+01	LOC102724760///IGHV1OR15-1	immunoglobulin heavy variable 1/OR15-1 pseudogene///immunoglobulin heavy variable 1/OR15-1 (non-functional)
A_32_P123176	1.38e-18	1.01e-20	6.11e+01		
A_23_P210060	1.38e-18	1.01e-20	6.11e+01	C2orf88	chromosome 2 open reading frame 88
A_23_P206759	1.40e-18	1.03e-20	6.11e+01	IST1	IST1, ESCRT-III associated factor
A_32_P203515	1.42e-18	1.05e-20	6.11e+01	SPECC1L	sperm antigen with calponin homology and coiled-coil domains 1 like
A_23_P396934	1.46e-18	1.08e-20	6.10e+01	NWD2	NACHT and WD repeat domain containing 2
A_23_P250800	1.46e-18	1.08e-20	6.10e+01	ST3GAL6	ST3 beta-galactoside alpha-2,3-sialyltransferase 6
A_23_P208167	1.53e-18	1.14e-20	6.09e+01	FPR3	formyl peptide receptor 3
A_24_P581618	1.56e-18	1.17e-20	6.09e+01		
A_23_P13701	1.59e-18	1.19e-20	6.08e+01	TMBIM4	transmembrane BAX inhibitor motif containing 4
A_24_P418780	1.61e-18	1.21e-20	6.08e+01		
