ID	adj.P.Val	P.Value	F	Gene.symbol	Gene.title
212667_at	3.80e-05	3.21e-08	2.82e+01	SPARC	secreted protein acidic and cysteine rich
229983_at	3.80e-05	3.29e-08	2.81e+01	TIGD2	tigger transposable element derived 2
204404_at	3.80e-05	3.30e-08	2.81e+01	SLC12A2	solute carrier family 12 member 2
212607_at	3.80e-05	3.36e-08	2.81e+01	AKT3	AKT serine/threonine kinase 3
209348_s_at	3.80e-05	3.46e-08	2.80e+01	MAF	MAF bZIP transcription factor
223349_s_at	3.80e-05	3.47e-08	2.80e+01	BOK	BOK, BCL2 family apoptosis regulator
229221_at	3.80e-05	3.54e-08	2.79e+01	CD44	CD44 molecule (Indian blood group)
226632_at	3.88e-05	3.69e-08	2.78e+01	CYGB	cytoglobin
225275_at	3.92e-05	3.99e-08	2.76e+01	EDIL3	EGF like repeats and discoidin domains 3
212636_at	3.92e-05	3.99e-08	2.76e+01	QKI	QKI, KH domain containing RNA binding
212397_at	3.92e-05	4.00e-08	2.76e+01	RDX	radixin
1555630_a_at	3.92e-05	4.13e-08	2.75e+01	NARR///RAB34	nine-amino acid residue-repeats///RAB34, member RAS oncogene family
222696_at	3.92e-05	4.15e-08	2.75e+01	AXIN2	axin 2
209283_at	3.92e-05	4.16e-08	2.75e+01	CRYAB	crystallin alpha B
212298_at	3.97e-05	4.30e-08	2.74e+01	NRP1	neuropilin 1
202664_at	3.97e-05	4.40e-08	2.74e+01	WIPF1	WAS/WASL interacting protein family member 1
203313_s_at	3.97e-05	4.43e-08	2.74e+01	TGIF1	TGFB induced factor homeobox 1
211592_s_at	4.07e-05	4.72e-08	2.72e+01	CACNA1C	calcium voltage-gated channel subunit alpha1 C
218795_at	4.07e-05	4.73e-08	2.72e+01	ACP6	acid phosphatase 6, lysophosphatidic
203817_at	4.07e-05	4.77e-08	2.72e+01	GUCY1B3	guanylate cyclase 1 soluble subunit beta
227354_at	4.53e-05	5.39e-08	2.69e+01	PAG1	phosphoprotein membrane anchor with glycosphingolipid microdomains 1
215127_s_at	4.60e-05	5.55e-08	2.68e+01	RBMS1	RNA binding motif single stranded interacting protein 1
226694_at	4.96e-05	6.08e-08	2.66e+01	PALM2-AKAP2///AKAP2	PALM2-AKAP2 readthrough///A-kinase anchoring protein 2
225464_at	4.99e-05	6.21e-08	2.66e+01	FRMD6	FERM domain containing 6
203962_s_at	5.17e-05	6.53e-08	2.64e+01	NEBL	nebulette
208981_at	5.31e-05	6.87e-08	2.63e+01	PECAM1	platelet and endothelial cell adhesion molecule 1
219727_at	5.31e-05	6.90e-08	2.63e+01	DUOX2	dual oxidase 2
205470_s_at	5.50e-05	7.24e-08	2.62e+01	KLK11	kallikrein related peptidase 11
213340_s_at	5.64e-05	7.53e-08	2.61e+01	TP73-AS1	TP73 antisense RNA 1
205407_at	6.00e-05	8.12e-08	2.59e+01	RECK	reversion inducing cysteine rich protein with kazal motifs
227235_at	6.01e-05	8.24e-08	2.59e+01	GUCY1A3	guanylate cyclase 1 soluble subunit alpha
236300_at	6.09e-05	8.47e-08	2.58e+01	PDE3A	phosphodiesterase 3A
215446_s_at	6.39e-05	9.00e-08	2.57e+01	LOX	lysyl oxidase
201159_s_at	6.46e-05	9.22e-08	2.56e+01	NMT1	N-myristoyltransferase 1
203510_at	6.47e-05	9.34e-08	2.56e+01	MET	MET proto-oncogene, receptor tyrosine kinase
203440_at	6.59e-05	9.64e-08	2.55e+01	CDH2	cadherin 2
230204_at	6.87e-05	1.02e-07	2.54e+01	HAPLN1	hyaluronan and proteoglycan link protein 1
200986_at	6.90e-05	1.04e-07	2.53e+01	SERPING1	serpin family G member 1
219167_at	6.90e-05	1.05e-07	2.53e+01	RASL12	RAS like family 12
227059_at	6.91e-05	1.06e-07	2.53e+01	GPC6	glypican 6
203988_s_at	6.91e-05	1.07e-07	2.53e+01	FUT8	fucosyltransferase 8
205524_s_at	7.07e-05	1.11e-07	2.52e+01	HAPLN1	hyaluronan and proteoglycan link protein 1
215185_at	7.07e-05	1.12e-07	2.52e+01	LINC00963	long intergenic non-protein coding RNA 963
226225_at	7.19e-05	1.16e-07	2.51e+01	MCC	mutated in colorectal cancers
1558397_at	7.32e-05	1.19e-07	2.50e+01	PECAM1	platelet and endothelial cell adhesion molecule 1
219597_s_at	7.47e-05	1.23e-07	2.49e+01	DUOX1	dual oxidase 1
221259_s_at	7.66e-05	1.27e-07	2.49e+01	TEX11	testis expressed 11
227561_at	7.68e-05	1.29e-07	2.48e+01	DDR2	discoidin domain receptor tyrosine kinase 2
200824_at	7.87e-05	1.34e-07	2.47e+01	GSTP1	glutathione S-transferase pi 1
227265_at	8.05e-05	1.39e-07	2.47e+01	FGL2	fibrinogen like 2
227239_at	8.05e-05	1.42e-07	2.46e+01	FAM126A	family with sequence similarity 126 member A
206331_at	8.05e-05	1.43e-07	2.46e+01	CALCRL	calcitonin receptor like receptor
201063_at	8.05e-05	1.43e-07	2.46e+01	RCN1	reticulocalbin 1
211980_at	8.05e-05	1.44e-07	2.46e+01	COL4A1	collagen type IV alpha 1 chain
203748_x_at	8.05e-05	1.48e-07	2.45e+01	RBMS1	RNA binding motif single stranded interacting protein 1
210021_s_at	8.05e-05	1.48e-07	2.45e+01	CCNO	cyclin O
201617_x_at	8.05e-05	1.49e-07	2.45e+01	CALD1	caldesmon 1
210869_s_at	8.09e-05	1.51e-07	2.45e+01	MIR6756///MCAM	microRNA 6756///melanoma cell adhesion molecule
219087_at	8.09e-05	1.52e-07	2.44e+01	ASPN	asporin
221019_s_at	8.45e-05	1.61e-07	2.43e+01	COLEC12	collectin subfamily member 12
209199_s_at	8.45e-05	1.62e-07	2.43e+01	MEF2C	myocyte enhancer factor 2C
209868_s_at	8.45e-05	1.64e-07	2.43e+01	RBMS1	RNA binding motif single stranded interacting protein 1
225442_at	8.59e-05	1.68e-07	2.42e+01	DDR2	discoidin domain receptor tyrosine kinase 2
233413_at	8.87e-05	1.75e-07	2.41e+01		
204490_s_at	8.97e-05	1.79e-07	2.41e+01	CD44	CD44 molecule (Indian blood group)
213800_at	9.17e-05	1.84e-07	2.40e+01	CFH	complement factor H
236496_at	9.54e-05	1.94e-07	2.39e+01	DEGS2	delta 4-desaturase, sphingolipid 2
217867_x_at	1.01e-04	2.09e-07	2.37e+01	BACE2	beta-site APP-cleaving enzyme 2
209081_s_at	1.01e-04	2.10e-07	2.37e+01	COL18A1	collagen type XVIII alpha 1 chain
225381_at	1.03e-04	2.14e-07	2.37e+01	MIR100HG	mir-100-let-7a-2 cluster host gene
206101_at	1.03e-04	2.17e-07	2.37e+01	ECM2	extracellular matrix protein 2
218469_at	1.06e-04	2.28e-07	2.35e+01	GREM1	gremlin 1, DAN family BMP antagonist
200844_s_at	1.06e-04	2.29e-07	2.35e+01	PRDX6	peroxiredoxin 6
205412_at	1.06e-04	2.29e-07	2.35e+01	ACAT1	acetyl-CoA acetyltransferase 1
219279_at	1.11e-04	2.41e-07	2.34e+01	DOCK10	dedicator of cytokinesis 10
200600_at	1.18e-04	2.59e-07	2.33e+01	MSN	moesin
202112_at	1.18e-04	2.62e-07	2.32e+01	VWF	von Willebrand factor
201866_s_at	1.19e-04	2.65e-07	2.32e+01	NR3C1	nuclear receptor subfamily 3 group C member 1
219091_s_at	1.20e-04	2.70e-07	2.32e+01	MMRN2	multimerin 2
211671_s_at	1.24e-04	2.82e-07	2.31e+01	NR3C1	nuclear receptor subfamily 3 group C member 1
202766_s_at	1.24e-04	2.86e-07	2.30e+01	FBN1	fibrillin 1
209369_at	1.24e-04	2.87e-07	2.30e+01	ANXA3	annexin A3
209568_s_at	1.24e-04	2.88e-07	2.30e+01	RGL1	ral guanine nucleotide dissociation stimulator like 1
241370_at	1.24e-04	2.89e-07	2.30e+01	LOC286052	uncharacterized LOC286052
203756_at	1.25e-04	2.96e-07	2.30e+01	ARHGEF17	Rho guanine nucleotide exchange factor 17
219243_at	1.26e-04	2.99e-07	2.29e+01	GIMAP4	GTPase, IMAP family member 4
204470_at	1.29e-04	3.11e-07	2.28e+01	CXCL1	C-X-C motif chemokine ligand 1
203961_at	1.29e-04	3.12e-07	2.28e+01	NEBL	nebulette
213891_s_at	1.30e-04	3.18e-07	2.28e+01	TCF4	transcription factor 4
242683_at	1.30e-04	3.19e-07	2.28e+01	LINC00668	long intergenic non-protein coding RNA 668
204642_at	1.30e-04	3.22e-07	2.28e+01	S1PR1	sphingosine-1-phosphate receptor 1
226039_at	1.30e-04	3.24e-07	2.28e+01	MGAT4A	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A
209335_at	1.32e-04	3.30e-07	2.27e+01	DCN	decorin
201563_at	1.35e-04	3.41e-07	2.26e+01	SORD	sorbitol dehydrogenase
227475_at	1.35e-04	3.43e-07	2.26e+01	FOXQ1	forkhead box Q1
204646_at	1.36e-04	3.47e-07	2.26e+01	DPYD	dihydropyrimidine dehydrogenase
202555_s_at	1.43e-04	3.70e-07	2.25e+01	MYLK	myosin light chain kinase
228339_at	1.43e-04	3.71e-07	2.25e+01	ECSCR	endothelial cell surface expressed chemotaxis and apoptosis regulator
243312_at	1.44e-04	3.77e-07	2.24e+01	ZNF107	zinc finger protein 107
219134_at	1.47e-04	3.87e-07	2.24e+01	ADGRL4	adhesion G protein-coupled receptor L4
209656_s_at	1.49e-04	3.98e-07	2.23e+01	TMEM47	transmembrane protein 47
225763_at	1.49e-04	3.98e-07	2.23e+01	RCSD1	RCSD domain containing 1
226525_at	1.51e-04	4.06e-07	2.23e+01	STK17B	serine/threonine kinase 17b
205572_at	1.54e-04	4.19e-07	2.22e+01	ANGPT2	angiopoietin 2
231879_at	1.54e-04	4.20e-07	2.22e+01	COL12A1	collagen type XII alpha 1 chain
241342_at	1.56e-04	4.28e-07	2.21e+01	TMEM65	transmembrane protein 65
228827_at	1.56e-04	4.30e-07	2.21e+01	RUNX1T1	RUNX1 translocation partner 1
240389_at	1.57e-04	4.38e-07	2.21e+01	TRPM6	transient receptor potential cation channel subfamily M member 6
204489_s_at	1.60e-04	4.47e-07	2.21e+01	CD44	CD44 molecule (Indian blood group)
225263_at	1.60e-04	4.50e-07	2.20e+01	HS6ST1	heparan sulfate 6-O-sulfotransferase 1
203786_s_at	1.70e-04	4.85e-07	2.19e+01	TPD52L1	tumor protein D52-like 1
227163_at	1.70e-04	4.88e-07	2.19e+01	GSTO2	glutathione S-transferase omega 2
208747_s_at	1.70e-04	4.89e-07	2.19e+01	C1S	complement component 1, s subcomponent
205234_at	1.73e-04	5.00e-07	2.18e+01	SLC16A4	solute carrier family 16 member 4
208370_s_at	1.75e-04	5.08e-07	2.18e+01	RCAN1	regulator of calcineurin 1
238021_s_at	1.77e-04	5.18e-07	2.17e+01	CRNDE	colorectal neoplasia differentially expressed (non-protein coding)
218694_at	1.78e-04	5.28e-07	2.17e+01	ARMCX1	armadillo repeat containing, X-linked 1
236038_at	1.78e-04	5.30e-07	2.17e+01	RNF150	ring finger protein 150
230615_at	1.78e-04	5.32e-07	2.17e+01	DUOXA2	dual oxidase maturation factor 2
208209_s_at	1.78e-04	5.37e-07	2.17e+01	C4BPB	complement component 4 binding protein beta
212522_at	1.78e-04	5.38e-07	2.17e+01	PDE8A	phosphodiesterase 8A
1554547_at	1.79e-04	5.44e-07	2.16e+01	FAM13C	family with sequence similarity 13 member C
204570_at	1.81e-04	5.55e-07	2.16e+01	COX7A1	cytochrome c oxidase subunit 7A1
202007_at	1.81e-04	5.57e-07	2.16e+01	NID1	nidogen 1
230836_at	1.89e-04	5.85e-07	2.15e+01	ST8SIA4	ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 4
221102_s_at	1.89e-04	5.87e-07	2.15e+01	TRPM6	transient receptor potential cation channel subfamily M member 6
227586_at	1.91e-04	5.96e-07	2.14e+01	TMEM170A	transmembrane protein 170A
203367_at	1.96e-04	6.17e-07	2.14e+01	DUSP14	dual specificity phosphatase 14
212063_at	1.98e-04	6.26e-07	2.13e+01	CD44	CD44 molecule (Indian blood group)
202878_s_at	1.98e-04	6.30e-07	2.13e+01	CD93	CD93 molecule
212764_at	1.98e-04	6.36e-07	2.13e+01	ZEB1	zinc finger E-box binding homeobox 1
208782_at	1.98e-04	6.39e-07	2.13e+01	FSTL1	follistatin like 1
241353_s_at	1.99e-04	6.44e-07	2.13e+01	LOC100507507	uncharacterized LOC100507507
213119_at	2.00e-04	6.51e-07	2.12e+01	SLC36A1	solute carrier family 36 member 1
201163_s_at	2.02e-04	6.60e-07	2.12e+01	IGFBP7	insulin like growth factor binding protein 7
1555950_a_at	2.04e-04	6.71e-07	2.12e+01	CD55	CD55 molecule (Cromer blood group)
214058_at	2.06e-04	6.81e-07	2.12e+01	MYCL	v-myc avian myelocytomatosis viral oncogene lung carcinoma derived homolog
228698_at	2.06e-04	6.87e-07	2.11e+01	SOX7	SRY-box 7
201315_x_at	2.07e-04	6.92e-07	2.11e+01	IFITM2	interferon induced transmembrane protein 2
202196_s_at	2.10e-04	7.07e-07	2.11e+01	DKK3	dickkopf WNT signaling pathway inhibitor 3
217848_s_at	2.13e-04	7.19e-07	2.10e+01	PPA1	pyrophosphatase (inorganic) 1
225033_at	2.15e-04	7.30e-07	2.10e+01	ST3GAL1	ST3 beta-galactoside alpha-2,3-sialyltransferase 1
221246_x_at	2.15e-04	7.36e-07	2.10e+01	TNS1	tensin 1
208983_s_at	2.15e-04	7.44e-07	2.10e+01	PECAM1	platelet and endothelial cell adhesion molecule 1
212203_x_at	2.15e-04	7.45e-07	2.10e+01	IFITM3	interferon induced transmembrane protein 3
201818_at	2.17e-04	7.53e-07	2.09e+01	LPCAT1	lysophosphatidylcholine acyltransferase 1
227013_at	2.21e-04	7.72e-07	2.09e+01	LATS2	large tumor suppressor kinase 2
233955_x_at	2.23e-04	7.82e-07	2.09e+01	CXXC5	CXXC finger protein 5
212387_at	2.24e-04	7.90e-07	2.08e+01	TCF4	transcription factor 4
212097_at	2.24e-04	7.96e-07	2.08e+01	CAV1	caveolin 1
208789_at	2.25e-04	8.11e-07	2.08e+01	PTRF	polymerase I and transcript release factor
229883_at	2.25e-04	8.12e-07	2.08e+01	GRIN2D	glutamate ionotropic receptor NMDA type subunit 2D
213541_s_at	2.25e-04	8.23e-07	2.08e+01	ERG	ERG, ETS transcription factor
207850_at	2.25e-04	8.29e-07	2.07e+01	CXCL3	C-X-C motif chemokine ligand 3
1559052_s_at	2.25e-04	8.33e-07	2.07e+01	PAK2	p21 (RAC1) activated kinase 2
203256_at	2.25e-04	8.35e-07	2.07e+01	CDH3	cadherin 3
209792_s_at	2.25e-04	8.36e-07	2.07e+01	KLK10	kallikrein related peptidase 10
40687_at	2.25e-04	8.36e-07	2.07e+01	GJA4	gap junction protein alpha 4
210448_s_at	2.25e-04	8.37e-07	2.07e+01	P2RX5	purinergic receptor P2X 5
222116_s_at	2.26e-04	8.45e-07	2.07e+01	TBC1D16	TBC1 domain family member 16
224412_s_at	2.28e-04	8.54e-07	2.07e+01	TRPM6	transient receptor potential cation channel subfamily M member 6
212386_at	2.28e-04	8.61e-07	2.07e+01	TCF4	transcription factor 4
208763_s_at	2.28e-04	8.63e-07	2.07e+01	TSC22D3	TSC22 domain family member 3
212398_at	2.28e-04	8.68e-07	2.06e+01	RDX	radixin
209465_x_at	2.29e-04	8.77e-07	2.06e+01	PTN	pleiotrophin
228507_at	2.34e-04	9.00e-07	2.06e+01	PDE3A	phosphodiesterase 3A
224761_at	2.42e-04	9.36e-07	2.05e+01	GNA13	G protein subunit alpha 13
209545_s_at	2.42e-04	9.40e-07	2.05e+01	RIPK2	receptor interacting serine/threonine kinase 2
218468_s_at	2.43e-04	9.45e-07	2.05e+01	GREM1	gremlin 1, DAN family BMP antagonist
209209_s_at	2.43e-04	9.57e-07	2.04e+01	FERMT2	fermitin family member 2
202936_s_at	2.43e-04	9.58e-07	2.04e+01	SOX9	SRY-box 9
211981_at	2.43e-04	9.63e-07	2.04e+01	COL4A1	collagen type IV alpha 1 chain
221565_s_at	2.43e-04	9.65e-07	2.04e+01	CALHM2	calcium homeostasis modulator 2
227361_at	2.44e-04	9.73e-07	2.04e+01	HS3ST3B1	heparan sulfate-glucosamine 3-sulfotransferase 3B1
203810_at	2.57e-04	1.03e-06	2.03e+01	DNAJB4	DnaJ heat shock protein family (Hsp40) member B4
210916_s_at	2.57e-04	1.04e-06	2.03e+01	CD44	CD44 molecule (Indian blood group)
206623_at	2.57e-04	1.04e-06	2.03e+01	PDE6A	phosphodiesterase 6A
204655_at	2.57e-04	1.05e-06	2.03e+01	CCL5	C-C motif chemokine ligand 5
241706_at	2.62e-04	1.07e-06	2.02e+01	CPNE8	copine 8
227295_at	2.64e-04	1.08e-06	2.02e+01	IKBIP	IKBKB interacting protein
227826_s_at	2.64e-04	1.08e-06	2.02e+01	SORBS2	sorbin and SH3 domain containing 2
210517_s_at	2.65e-04	1.09e-06	2.02e+01	AKAP12	A-kinase anchoring protein 12
218723_s_at	2.66e-04	1.10e-06	2.01e+01	RGCC	regulator of cell cycle
217525_at	2.69e-04	1.13e-06	2.01e+01	OLFML1	olfactomedin like 1
204606_at	2.69e-04	1.13e-06	2.01e+01	CCL21	C-C motif chemokine ligand 21
219777_at	2.69e-04	1.13e-06	2.01e+01	GIMAP6	GTPase, IMAP family member 6
225622_at	2.72e-04	1.15e-06	2.01e+01	PAG1	phosphoprotein membrane anchor with glycosphingolipid microdomains 1
221747_at	2.72e-04	1.15e-06	2.01e+01	TNS1	tensin 1
205471_s_at	2.74e-04	1.17e-06	2.00e+01	DACH1	dachshund family transcription factor 1
225269_s_at	2.76e-04	1.18e-06	2.00e+01	RBMS1	RNA binding motif single stranded interacting protein 1
1555896_a_at	2.79e-04	1.21e-06	2.00e+01	ADAM15	ADAM metallopeptidase domain 15
218076_s_at	2.79e-04	1.21e-06	2.00e+01	ARHGAP17	Rho GTPase activating protein 17
210095_s_at	2.79e-04	1.21e-06	1.99e+01	IGFBP3	insulin like growth factor binding protein 3
200845_s_at	2.81e-04	1.22e-06	1.99e+01	PRDX6	peroxiredoxin 6
212443_at	2.82e-04	1.23e-06	1.99e+01	NBEAL2	neurobeachin like 2
209687_at	2.84e-04	1.25e-06	1.99e+01	CXCL12	C-X-C motif chemokine ligand 12
235891_at	2.85e-04	1.27e-06	1.99e+01	DNM3OS	DNM3 opposite strand/antisense RNA
213004_at	2.85e-04	1.27e-06	1.99e+01	ANGPTL2	angiopoietin like 2
212423_at	2.85e-04	1.27e-06	1.99e+01	ZCCHC24	zinc finger CCHC-type containing 24
218775_s_at	2.85e-04	1.27e-06	1.98e+01	WWC2///CLDN22	WW and C2 domain containing 2///claudin 22
209170_s_at	2.85e-04	1.28e-06	1.98e+01	GPM6B	glycoprotein M6B
238906_s_at	2.86e-04	1.29e-06	1.98e+01	RHOJ	ras homolog family member J
204220_at	2.86e-04	1.29e-06	1.98e+01	GMFG	glia maturation factor gamma
205801_s_at	2.93e-04	1.33e-06	1.98e+01	RASGRP3	RAS guanyl releasing protein 3
219682_s_at	2.95e-04	1.35e-06	1.97e+01	TBX3	T-box 3
201926_s_at	2.95e-04	1.35e-06	1.97e+01	CD55	CD55 molecule (Cromer blood group)
202286_s_at	2.96e-04	1.36e-06	1.97e+01	TACSTD2	tumor-associated calcium signal transducer 2
228303_at	2.98e-04	1.37e-06	1.97e+01	GALNT6	polypeptide N-acetylgalactosaminyltransferase 6
229530_at	3.01e-04	1.39e-06	1.97e+01	GUCY1A3	guanylate cyclase 1 soluble subunit alpha
222486_s_at	3.09e-04	1.43e-06	1.96e+01	ADAMTS1	ADAM metallopeptidase with thrombospondin type 1 motif 1
226607_at	3.09e-04	1.44e-06	1.96e+01	C20orf194	chromosome 20 open reading frame 194
203320_at	3.12e-04	1.46e-06	1.96e+01	SH2B3	SH2B adaptor protein 3
209120_at	3.15e-04	1.48e-06	1.95e+01	NR2F2	nuclear receptor subfamily 2 group F member 2
204834_at	3.16e-04	1.49e-06	1.95e+01	FGL2	fibrinogen like 2
228333_at	3.17e-04	1.50e-06	1.95e+01	ZEB2	zinc finger E-box binding homeobox 2
211896_s_at	3.17e-04	1.51e-06	1.95e+01	DCN	decorin
219064_at	3.17e-04	1.51e-06	1.95e+01	ITIH5	inter-alpha-trypsin inhibitor heavy chain family member 5
205945_at	3.21e-04	1.55e-06	1.94e+01	IL6R	interleukin 6 receptor
212195_at	3.21e-04	1.55e-06	1.94e+01	IL6ST	interleukin 6 signal transducer
242751_at	3.21e-04	1.55e-06	1.94e+01		
225626_at	3.21e-04	1.56e-06	1.94e+01	PAG1	phosphoprotein membrane anchor with glycosphingolipid microdomains 1
243481_at	3.22e-04	1.57e-06	1.94e+01	RHOJ	ras homolog family member J
37117_at	3.22e-04	1.57e-06	1.94e+01	PRR5-ARHGAP8///ARHGAP8	PRR5-ARHGAP8 readthrough///Rho GTPase activating protein 8
231766_s_at	3.23e-04	1.58e-06	1.94e+01	COL12A1	collagen type XII alpha 1 chain
203325_s_at	3.33e-04	1.64e-06	1.93e+01	COL5A1	collagen type V alpha 1 chain
212942_s_at	3.33e-04	1.65e-06	1.93e+01	CEMIP	cell migration inducing hyaluronan binding protein
212686_at	3.33e-04	1.65e-06	1.93e+01	PPM1H	protein phosphatase, Mg2+/Mn2+ dependent 1H
201787_at	3.37e-04	1.68e-06	1.93e+01	FBLN1	fibulin 1
213194_at	3.37e-04	1.69e-06	1.93e+01	ROBO1	roundabout guidance receptor 1
224176_s_at	3.37e-04	1.69e-06	1.93e+01	AXIN2	axin 2
217967_s_at	3.43e-04	1.72e-06	1.92e+01	FAM129A	family with sequence similarity 129 member A
219545_at	3.44e-04	1.74e-06	1.92e+01	NDUFC2-KCTD14///KCTD14	NDUFC2-KCTD14 readthrough///potassium channel tetramerization domain containing 14
201865_x_at	3.44e-04	1.74e-06	1.92e+01	NR3C1	nuclear receptor subfamily 3 group C member 1
201666_at	3.44e-04	1.75e-06	1.92e+01	TIMP1	TIMP metallopeptidase inhibitor 1
211737_x_at	3.45e-04	1.76e-06	1.92e+01	PTN	pleiotrophin
204677_at	3.46e-04	1.77e-06	1.92e+01	CDH5	cadherin 5
202291_s_at	3.50e-04	1.80e-06	1.91e+01	MGP	matrix Gla protein
210619_s_at	3.50e-04	1.81e-06	1.91e+01	HYAL1	hyaluronoglucosaminidase 1
202202_s_at	3.50e-04	1.81e-06	1.91e+01	LAMA4	laminin subunit alpha 4
209550_at	3.52e-04	1.83e-06	1.91e+01	NDN	necdin, MAGE family member
210815_s_at	3.52e-04	1.83e-06	1.91e+01	CALCRL	calcitonin receptor like receptor
236835_at	3.52e-04	1.85e-06	1.91e+01	FUT8-AS1	FUT8 antisense RNA 1
214679_x_at	3.52e-04	1.86e-06	1.91e+01	GNA11	G protein subunit alpha 11
1554930_a_at	3.52e-04	1.86e-06	1.91e+01	FUT8	fucosyltransferase 8
230830_at	3.52e-04	1.86e-06	1.91e+01	SLC51B	solute carrier family 51 beta subunit
202134_s_at	3.52e-04	1.87e-06	1.91e+01	WWTR1	WW domain containing transcription regulator 1
225798_at	3.52e-04	1.88e-06	1.91e+01	JAZF1	JAZF zinc finger 1
226498_at	3.52e-04	1.88e-06	1.91e+01	FLT1	fms related tyrosine kinase 1
223018_at	3.52e-04	1.89e-06	1.90e+01	NOB1	NIN1/PSMD8 binding protein 1 homolog
232431_at	3.52e-04	1.89e-06	1.90e+01	NR3C1	nuclear receptor subfamily 3 group C member 1
227647_at	3.52e-04	1.90e-06	1.90e+01	KCNE3	potassium voltage-gated channel subfamily E regulatory subunit 3
222446_s_at	3.55e-04	1.92e-06	1.90e+01	BACE2	beta-site APP-cleaving enzyme 2
