"",title0
GSM3304956,2364A: Adenoma of Patient 2364
GSM95473,colon_normal_1024
GSM95474,colon_normal_1081
GSM95475,colon_normal_1114
GSM95476,colon_normal_1122
GSM95477,colon_normal_1357
GSM95478,colon_normal_1431
GSM95479,colon_normal_1440
GSM95480,colon_normal_1456
GSM95481,colon_adenoma_1115
GSM95482,colon_adenoma_1138
GSM95483,colon_adenoma_1141
GSM95484,colon_adenoma_1154
GSM95485,colon_adenoma_1187
GSM95486,colon_adenoma_1312
GSM95487,colon_adenoma_1419
GSM95488,colon_adenoma_1700
GSM95489,colon_adenoma_1748
GSM95490,colon_adenoma_1830
GSM95491,colon_adenoma_1832
GSM95492,colon_adenoma_956
GSM95493,colon_adenoma_980
GSM95494,colon_adenoma_983
GSM95495,colon_adenoma_995
GSM95496,colon_CRC_1146
GSM95497,colon_CRC_1158
GSM95498,colon_CRC_1293
GSM95499,colon_CRC_1316
GSM95500,colon_CRC_1377
GSM95501,colon_CRC_1479
GSM95502,colon_CRC_1486
GSM95503,colon_CRC_1494
GSM95504,colon_CRC_1499
GSM95505,colon_CRC_1556
GSM95506,colon_CRC_1651
GSM95507,colon_CRC_1708
GSM95508,colon_CRC_1739
GSM95509,colon_CRC_1761
GSM95510,colon_CRC_1883
GSM95511,colon_IBD_1110
GSM95512,colon_IBD_1118
GSM95513,colon_IBD_1537
GSM95514,colon_IBD_1670
GSM95515,colon_IBD_1802
GSM95516,colon_IBD_923
GSM95517,colon_IBD_1017
GSM95518,colon_IBD_1060
GSM95519,colon_IBD_1156
GSM95520,colon_IBD_1175
GSM95521,colon_IBD_1368
GSM95522,colon_IBD_1533
GSM95523,colon_IBD_1606
GSM95524,colon_IBD_1665
GSM95525,colon_IBD_939
GSM1829199,Whole_embryo_rep1
GSM1829200,Whole_embryo_rep2
GSM1829201,Whole_embryo_rep3
GSM1829202,Whole_embryo_rep4
GSM1829203,Whole_embryo_rep5
GSM1829204,Whole_embryo_rep6
GSM1829205,Early_embryonic_colon_rep1
GSM1829206,Early_embryonic_colon_rep2
GSM1829207,Early_embryonic_colon_rep3
GSM1829208,Early_embryonic_colon_rep4
GSM1829209,Early_embryonic_colon_rep5
GSM1829210,Early_embryonic_colon_rep6
GSM1829211,Middle_embryonic_colon_rep1
GSM1829212,Middle_embryonic_colon_rep2
GSM1829213,Middle_embryonic_colon_rep3
GSM1829214,Middle_embryonic_colon_rep4
GSM1829215,Middle_embryonic_colon_rep5
GSM1829216,Middle_embryonic_colon_rep6
GSM1829217,Middle_embryonic_colon_rep7
GSM1829218,Middle_embryonic_colon_rep8
GSM1829219,Normal rectum mucosa_rep1
GSM1829220,Normal rectum mucosa_rep2
GSM1829221,Normal rectum mucosa_rep3
GSM1829222,Normal rectum mucosa_rep4
GSM1829223,Normal rectum mucosa_rep5
GSM1829224,Normal rectum mucosa_rep6
GSM1829225,Normal rectum mucosa_rep7
GSM1829226,Normal rectum mucosa_rep8
GSM1829227,Normal rectum mucosa_rep9
GSM1829228,Normal rectum mucosa_rep10
GSM1829229,Normal rectum mucosa_rep11
GSM1829230,Normal rectum mucosa_rep12
GSM1829231,Colorectal Adenoma tissue_rep1
GSM1829232,Colorectal Adenoma tissue_rep2
GSM1829233,Colorectal Adenoma tissue_rep3
GSM1829234,Colorectal Adenoma tissue_rep4
GSM1829235,Colorectal Adenoma tissue_rep5
GSM1829236,Colorectal Adenoma tissue_rep6
GSM1829237,Colorectal Adenoma tissue_rep7
GSM1829238,Colorectal Adenoma tissue_rep8
GSM1829239,Colorectal Adenoma tissue_rep9
GSM1829240,Colorectal Adenoma tissue_rep10
GSM1829241,Colorectal Adenoma tissue_rep11
GSM1829242,Colorectal Adenoma tissue_rep12
GSM1829243,Colorectal Adenoma tissue_rep13
GSM1829244,Colorectal Adenoma tissue_rep14
GSM1829245,Colorectal Adenoma tissue_rep15
GSM1829246,Colorectal Adenoma tissue_rep16
GSM1829247,Colorectal Adenoma tissue_rep17
GSM1829248,Colorectal Adenoma tissue_rep18
GSM1829249,Colorectal Adenoma tissue_rep19
GSM1829250,Colorectal Adenoma tissue_rep20
GSM1829251,Colorectal Adenoma tissue_rep21
GSM1829252,Colorectal Adenoma tissue_rep22
GSM1829253,Colorectal Adenoma tissue_rep23
GSM1829254,Colorectal Adenoma tissue_rep24
GSM1829255,Colorectal Adenoma tissue_rep25
GSM1829256,Colorectal Adenoma tissue_rep26
GSM1829257,Colorectal Adenoma tissue_rep27
GSM1829258,Colorectal Adenoma tissue_rep28
GSM1829259,Colorectal Adenoma tissue_rep29
GSM1829260,Colorectal Adenoma tissue_rep30
GSM1829261,Colorectal Adenoma tissue_rep31
GSM1829262,Colorectal Adenoma tissue_rep32
GSM1829263,Colorectal Adenoma tissue_rep33
GSM1829264,Colorectal Adenoma tissue_rep34
GSM1829265,Colorectal Adenoma tissue_rep35
GSM1829266,Colorectal Adenoma tissue_rep36
GSM1829267,Colorectal Adenoma tissue_rep37
GSM1829268,Colorectal Adenoma tissue_rep38
GSM1829269,Colorectal Adenoma tissue_rep39
GSM1829270,Colorectal Adenoma tissue_rep40
GSM1829271,Colorectal Adenoma tissue_rep41
GSM1829272,Colorectal Adenoma tissue_rep42
GSM1829273,Colorectal Adenoma tissue_rep43
GSM1829274,Colorectal Adenoma tissue_rep44
GSM1829275,Colorectal Adenoma tissue_rep45
GSM1829276,Colorectal Adenoma tissue_rep46
GSM1829277,Colorectal Adenoma tissue_rep47
GSM1829278,Colorectal Adenoma tissue_rep48
GSM1829279,Colorectal Adenoma tissue_rep49
GSM1829280,Colorectal Adenoma tissue_rep50
GSM1829281,Colorectal Adenoma tissue_rep51
GSM1829282,Colorectal Adenoma tissue_rep52
GSM1829283,Colorectal Adenoma tissue_rep53
GSM1829284,Colorectal Adenoma tissue_rep54
GSM1829285,Colorectal Adenoma tissue_rep55
GSM1829286,Colorectal Adenoma tissue_rep56
GSM1829287,Colorectal Adenoma tissue_rep57
GSM1829288,Colorectal Adenoma tissue_rep58
GSM1829289,Colorectal Cancer_tissue_rep1
GSM1829290,Colorectal Cancer_tissue_rep2
GSM1829291,Colorectal Cancer_tissue_rep3
GSM1829292,Colorectal Cancer_tissue_rep4
GSM1829293,Colorectal Cancer_tissue_rep5
GSM1829294,Colorectal Cancer_tissue_rep6
GSM1829295,Colorectal Cancer_tissue_rep7
GSM1829296,Colorectal Cancer_tissue_rep8
GSM1829297,Colorectal Cancer_tissue_rep9
GSM1829298,Colorectal Cancer_tissue_rep10
GSM1829299,Colorectal Cancer_tissue_rep11
GSM1829300,Colorectal Cancer_tissue_rep12
GSM1829301,Colorectal Cancer_tissue_rep13
GSM1829302,Colorectal Cancer_tissue_rep14
GSM1829303,Colorectal Cancer_tissue_rep15
GSM1829304,Colorectal Cancer_tissue_rep16
GSM1829305,Colorectal Cancer_tissue_rep17
GSM1829306,Colorectal Cancer_tissue_rep18
GSM1829307,Colorectal Cancer_tissue_rep19
GSM1829308,Colorectal Cancer_tissue_rep20
GSM1829309,Colorectal Cancer_tissue_rep21
GSM1829310,Colorectal Cancer_tissue_rep22
GSM1829311,Colorectal Cancer_tissue_rep23
GSM1829312,Colorectal Cancer_tissue_rep24
GSM1829313,Colorectal Cancer_tissue_rep25
GSM1829314,Colorectal Cancer_tissue_rep26
GSM1829315,Colorectal Cancer_tissue_rep27
GSM1829316,Colorectal Cancer_tissue_rep28
GSM1829317,Colorectal Cancer_tissue_rep29
GSM1829318,Colorectal Cancer_tissue_rep30
GSM1829319,Colorectal Cancer_tissue_rep31
GSM1829320,Colorectal Cancer_tissue_rep32
GSM1829321,Colorectal Cancer_tissue_rep33
GSM1829322,Colorectal Cancer_tissue_rep34
GSM1829323,Colorectal Cancer_tissue_rep35
GSM1829324,Colorectal Cancer_tissue_rep36
GSM1829325,Colorectal Cancer_tissue_rep37
GSM1829326,Colorectal Cancer_tissue_rep38
GSM1829327,Colorectal Cancer_tissue_rep39
GSM1829328,Colorectal Cancer_tissue_rep40
GSM1829329,Colorectal Cancer_tissue_rep41
GSM1829330,Colorectal Cancer_tissue_rep42
GSM1829331,Colorectal Cancer_tissue_rep43
GSM1829332,Colorectal Cancer_tissue_rep44
GSM1829333,Colorectal Cancer_tissue_rep45
GSM1829334,Colorectal Cancer_tissue_rep46
GSM1829335,Colorectal Cancer_tissue_rep47
GSM1829336,Colorectal_Cancer_Survival_Patient1
GSM1829337,Colorectal_Cancer_Survival_Patient2
GSM1829338,Colorectal_Cancer_Survival_Patient3
GSM1829339,Colorectal_Cancer_Survival_Patient4
GSM1829340,Colorectal_Cancer_Survival_Patient5
GSM1829341,Colorectal_Cancer_Survival_Patient6
GSM1829342,Colorectal_Cancer_Survival_Patient7
GSM1829343,Colorectal_Cancer_Survival_Patient8
GSM1829344,Colorectal_Cancer_Survival_Patient9
GSM1829345,Colorectal_Cancer_Survival_Patient10
GSM1829346,Colorectal_Cancer_Survival_Patient11
GSM1829347,Colorectal_Cancer_Survival_Patient12
GSM1829348,Colorectal_Cancer_Survival_Patient13
GSM1829349,Colorectal_Cancer_Survival_Patient14
GSM1829350,Colorectal_Cancer_Survival_Patient15
GSM1829351,Colorectal_Cancer_Survival_Patient16
GSM1829352,Colorectal_Cancer_Survival_Patient17
GSM1829353,Colorectal_Cancer_Survival_Patient18
GSM1829354,Colorectal_Cancer_Survival_Patient19
GSM1829355,Colorectal_Cancer_Survival_Patient20
GSM1829356,Colorectal_Cancer_Survival_Patient21
GSM1829357,Colorectal_Cancer_Survival_Patient22
GSM1829358,Colorectal_Cancer_Survival_Patient23
GSM1829359,Colorectal_Cancer_Survival_Patient24
GSM1829360,Colorectal_Cancer_Survival_Patient25
GSM1829361,Colorectal_Cancer_Survival_Patient26
GSM1829362,Colorectal_Cancer_Survival_Patient27
GSM1829363,Colorectal_Cancer_Survival_Patient28
GSM1829364,Colorectal_Cancer_Survival_Patient29
GSM1829365,Colorectal_Cancer_Survival_Patient30
GSM1829366,Colorectal_Cancer_Survival_Patient31
GSM1829367,Colorectal_Cancer_Survival_Patient32
GSM1829368,Colorectal_Cancer_Survival_Patient33
GSM1829369,Colorectal_Cancer_Survival_Patient34
GSM1829370,Colorectal_Cancer_Survival_Patient35
GSM1829371,Colorectal_Cancer_Survival_Patient36
GSM1829372,Colorectal_Cancer_Survival_Patient37
GSM1829373,Colorectal_Cancer_Survival_Patient38
GSM1829374,Colorectal_Cancer_Survival_Patient39
GSM1829375,Colorectal_Cancer_Survival_Patient40
GSM1829376,Colorectal_Cancer_Survival_Patient41
GSM1829377,Colorectal_Cancer_Survival_Patient42
GSM1829378,Colorectal_Cancer_Survival_Patient43
GSM1829379,Colorectal_Cancer_Survival_Patient44
GSM1829380,Colorectal_Cancer_Survival_Patient45
GSM1829381,Colorectal_Cancer_Survival_Patient46
GSM1829382,Colorectal_Cancer_Survival_Patient47
GSM1829383,Colorectal_Cancer_Survival_Patient48
GSM1829384,Colorectal_Cancer_Survival_Patient49
GSM1829385,Colorectal_Cancer_Survival_Patient50
GSM1829386,Colorectal_Cancer_Survival_Patient51
GSM1829387,Colorectal_Cancer_Survival_Patient52
GSM2674157,"tissue: Tubular adenoma biopsy, low-grade"
GSM2674158,"tissue: Tubular adenoma biopsy, low-grade"
GSM2674159,"tissue: Tubular adenoma biopsy, low-grade"
GSM2674160,"tissue: Tubular adenoma biopsy, low-grade"
GSM2674161,"tissue: Tubular adenoma biopsy, low-grade"
GSM2674162,"tissue: Tubular adenoma biopsy, low-grade"
GSM2674163,"tissue: Tubular adenoma biopsy, low-grade"
GSM2674164,"tissue: Tubular adenoma biopsy, low-grade"
GSM2674165,"tissue: Tubular adenoma biopsy, low-grade"
GSM2674166,"tissue: Tubulovillous adenoma biopsy, low-grade"
GSM2674167,"tissue: Tubular adenoma biopsy, low-grade"
GSM2674168,"tissue: Tubulovillous adenoma biopsy, low-grade"
GSM2674169,"tissue: Tubulovillous adenoma biopsy, high-grade"
GSM2674170,"tissue: Tubulovillous adenoma biopsy, low-grade"
GSM2674171,"tissue: Tubulovillous adenoma biopsy, low-grade"
GSM2674172,"tissue: Tubulovillous adenoma biopsy, high-grade"
GSM2674173,"tissue: Tubular adenoma biopsy, low-grade"
GSM2674174,"tissue: Tubulovillous adenoma biopsy, low-grade biopsy sample"
GSM2674175,"tissue: Villous / tubulovillous adenoma biopsy, low-grade"
GSM2674176,"tissue: Tubulovillous adenoma biopsy, low-grade"
GSM2674177,tissue: healthy colon biopsy
GSM2674178,tissue: healthy colon biopsy
GSM2674179,tissue: healthy colon biopsy
GSM2674180,tissue: healthy colon biopsy
GSM2674181,tissue: healthy colon biopsy
GSM2674182,tissue: healthy colon biopsy
GSM2674183,tissue: healthy colon biopsy
GSM2674184,tissue: healthy colon biopsy
GSM2674185,tissue: healthy colon biopsy
GSM2674186,tissue: healthy colon biopsy
GSM2674187,tissue: healthy colon biopsy
GSM2674188,tissue: healthy colon biopsy
GSM2674189,tissue: healthy colon biopsy
GSM2674190,tissue: healthy colon biopsy
GSM2674191,tissue: healthy colon biopsy
GSM2674192,tissue: healthy colon biopsy
GSM2674193,tissue: healthy colon biopsy
GSM2674194,tissue: healthy colon biopsy
GSM2674195,tissue: healthy colon biopsy
GSM2674196,tissue: healthy colon biopsy
GSM2674197,"tissue: Colorectal adenocarcinoma biopsy, Dukes B2"
GSM2674198,"tissue: Colorectal adenocarcinoma biopsy, Dukes C"
GSM2674199,"tissue: Colorectal adenocarcinoma biopsy, Dukes B1"
GSM2674200,"tissue: Colorectal adenocarcinoma biopsy, Dukes D"
GSM2674201,"tissue: Colorectal adenocarcinoma biopsy, Dukes D"
GSM2674202,"tissue: Colorectal adenocarcinoma biopsy, unknown"
GSM2674203,"tissue: Colorectal adenocarcinoma biopsy, Dukes B2"
GSM2674204,"tissue: Colorectal adenocarcinoma biopsy, Dukes B2"
GSM2674205,"tissue: Colorectal adenocarcinoma biopsy, Dukes B1"
GSM2674206,"tissue: Colorectal adenocarcinoma biopsy, Dukes B1"
GSM2674207,"tissue: Colorectal adenocarcinoma biopsy, Dukes C"
GSM2674208,"tissue: Colorectal adenocarcinoma biopsy, Dukes B2"
GSM2674209,"tissue: Colorectal adenocarcinoma biopsy, Dukes C"
GSM2674210,"tissue: Colorectal adenocarcinoma biopsy, Dukes B2"
GSM2674211,"tissue: Colorectal adenocarcinoma biopsy, Dukes D"
GSM2674212,"tissue: Colorectal adenocarcinoma biopsy, Dukes C"
GSM2674213,"tissue: Colorectal adenocarcinoma biopsy, Dukes B2"
GSM2674214,"tissue: Colorectal adenocarcinoma biopsy, Dukes C2"
GSM2674215,"tissue: Colorectal adenocarcinoma biopsy, Dukes D"
GSM2674216,"tissue: Colorectal adenocarcinoma biopsy, Dukes D"
